18,19
20,19
21,20
22,21
17,16
15,16
2,15
14,2
13,14
12,13
11,12
1,11
10,1
12,27
10,27
36,27
36,45
54,45
54,15
54,2
45,14
36,36
36,13
15,50
59,50
59,16
59,55
55,51
46,50
46,55
42,51
42,46
51,56
55,60
60,17
60,56
60,19
56,61
61,20
61,57
57,62
62,58
62,21
58,22
58,49
49,40
40,31
31,3
3,26
26,35
35,44
44,53
53,62
49,44
49,53
35,31
26,4
4,3
53,48
48,57
48,39
39,30
39,44
30,35
4,30
4,5
5,25
5,6
6,7
7,8
8,9
9,10
10,23
23,24
9,23
8,24
24,7
7,25
6,25
24,25
25,30
25,29
24,29
32,23
32,41
41,50
41,45
32,36
32,27
27,23
23,28
32,28
28,37
37,41
46,37
37,42
37,33
28,33
28,24
33,29
29,38
33,38
38,42
47,51
47,42
38,43
43,47
34,43
34,29
30,34
39,43
43,52
52,56
57,52
48,43
17,18
