species,clade,superorder,order,family,status,tip_age,age_max,age_min,Mass,Activity,Diet,Sociality,Locomotion,specimen_ID,source,reference
Ursus_arctos,Placentalia,Laurasiatheria,Carnivora,Ursidae,extant,0,0,0,196287.5,Mixed,Omnivore,Solitary,Terrestrial,USNM:MAMM:USNM 82003,https://n2t.net/ark:/87602/m4/M100638,"56, 101"
Ustatochoerus_profectus,Placentalia,Laurasiatheria,Artiodactyla,Merycoidodontidae,extinct,13.87,23.04,4.7,24000,NA,Herbivore,NA,Terrestrial,amnh:fm:33617,https://n2t.net/ark:/87602/m4/396566,"76, 168"
Vampyrum_spectrum,Placentalia,Laurasiatheria,Chiroptera,Phyllostomidae,extant,0,0,0,171.61,NA,Carnivore,Social,Volant,AMNH:M-:202292,https://n2t.net/ark:/87602/m4/475100,"56, 101"
Vandeleuria_oleracea,Placentalia,Euarchontoglires,Rodentia,Muridae,extant,0,0,0,10,NA,NA,NA,Semi-arboreal,AMNH:Mammals:M-241515,https://n2t.net/ark:/87602/m4/M100503,"101, 102"
Varecia_variegata,Placentalia,Euarchontoglires,Primates,Lemuridae,extant,0,0,0,3849.99,Mixed,Herbivore,Social,Arboreal,umzc:vertebrates:E5190D,https://n2t.net/ark:/87602/m4/636816,"56, 101"
Vombatus_ursinus,Metatheria,Marsupialia,Diprotodontia,Vombatidae,extant,0,0,0,26000,Nocturnal,Herbivore,Solitary,Semi-fossorial,TMM:M:2953,https://n2t.net/ark:/87602/m4/606274,"56, 101"
Vulpes_lagopus,Placentalia,Laurasiatheria,Carnivora,Canidae,extant,0,0,0,3584.37,Mixed,Carnivore,Solitary,Terrestrial,UMZC:Vertebrates:K.3669,https://n2t.net/ark:/87602/m4/421540,"56, 101"
Wallabia_bicolor,Metatheria,Marsupialia,Diprotodontia,Macropodidae,extant,0,0,0,14999.95,Nocturnal,Herbivore,Solitary,Terrestrial,NMVC:10226,"Weisbecker et al., 2021","56, 101"
Yalkaparidon_coheni,Metatheria,Marsupialia,Yalkaparidontia,Yalkaparidontidae,extinct,19.51,23.04,15.98,160,NA,NA,NA,NA,QMF:13008,"Weisbecker et al., 2021",30
Zaglossus_bartoni,Monotremata,Monotremata,Monotremata,Tachyglossidae,extant,0,0,0,6881.25,Nocturnal,Carnivore,Solitary,Semi-fossorial,AMNH:Mammals:M-157072,https://n2t.net/ark:/87602/m4/M167396,"100, 101"
Zalophus_californianus,Placentalia,Laurasiatheria,Carnivora,Otariidae,extant,0,0,0,137194.86,Mixed,Carnivore,Social,Aquatic,ucla:252,https://n2t.net/ark:/87602/m4/M100089,"56, 101"
Zapus_hudsonius,Placentalia,Euarchontoglires,Rodentia,Zapodidae,extant,0,0,0,18.43,NA,Herbivore,Solitary,Terrestrial,UMMZ:mammals:157417,https://n2t.net/ark:/87602/m4/M141228,"56, 101"
Zenkerella_insignis,Placentalia,Euarchontoglires,Rodentia,Zenkerellidae,extant,0,0,0,200,NA,NA,NA,Arboreal,nhmuk:5.5.23.27,https://n2t.net/ark:/87602/m4/M154996,"56, 101"
Zodiolestes_daimonedlixensis,Placentalia,Laurasiatheria,Carnivora,Mustelidae,extinct,19.7,23.1,16.3,5000,NA,Omnivore,NA,Semi-arboreal,fmnh:p:12032,https://n2t.net/ark:/87602/m4/408012,"76, 170"
Zygodontomys_brevicauda,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,52.22,Nocturnal,Omnivore,NA,NA,UMMZ:mammals:111960,https://n2t.net/ark:/87602/m4/M68573,"56, 101"
Zygomaturus_trilobus,Metatheria,Marsupialia,Diprotodontia,Diprotodontidae,extinct,3.6405,7.246,0.035,500000,NA,Herbivore,NA,Terrestrial,QVM1992:GFV73,"Weisbecker et al., 2021",82
