species,clade,superorder,order,family,status,tip_age,age_max,age_min,Mass,Activity,Diet,Sociality,Locomotion,specimen_ID,source,reference
Cercartetus_concinnus,Metatheria,Marsupialia,Diprotodontia,Burramyidae,extant,0,0,0,15.96,Nocturnal,Herbivore,Solitary,Arboreal,NHMUK:ZOO:ZD 1897.11.18.1,https://n2t.net/ark:/87602/m4/M82415,"56, 101"
Cercopithecus_ascanius,Placentalia,Euarchontoglires,Primates,Cercopithecidae,extant,0,0,0,3540.24,Diurnal,Omnivore,Social,Arboreal,sbu:rs:81-11,https://n2t.net/ark:/87602/m4/M22475,"56, 101"
Cerdocyon_thous,Placentalia,Laurasiatheria,Carnivora,Canidae,extant,0,0,0,5741.66,Nocturnal,Omnivore,Social,Terrestrial,ummz:mammals:157855,https://n2t.net/ark:/87602/m4/674794,"56, 101"
Chadronia_margaretae,Placentalia,Laurasiatheria,Pantolesta,Pantolestidae,extinct,35.45,37,33.9,7500,NA,NA,NA,NA,amnh:fm:109412,https://n2t.net/ark:/87602/m4/395529,"76, 125"
Chaeropus_ecaudatus,Metatheria,Marsupialia,Peramelemorphia,Chaeropodidae,extinct,0,0,0,219.51,Mixed,Omnivore,NA,Terrestrial,SAMA:Mammalogy:M3971,https://n2t.net/ark:/87602/m4/557564,"56, 101"
Chaetodipus_penicillatus,Placentalia,Euarchontoglires,Rodentia,Heteromyidae,extant,0,0,0,15.57,Nocturnal,Herbivore,Solitary,Terrestrial,uf:mammals:10053,https://n2t.net/ark:/87602/m4/M140401,"56, 101"
Cheirogaleus_medius,Placentalia,Euarchontoglires,Primates,Cheirogaleidae,extant,0,0,0,196.76,Nocturnal,Omnivore,Solitary,Arboreal,du:ea:41,https://n2t.net/ark:/87602/m4/369240,"56, 101"
Chibchanomys_trichotis,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,49.99,NA,Carnivore,NA,NA,ummz:mammals:156532,https://n2t.net/ark:/87602/m4/673852,"56, 101"
Chinchilla_lanigera,Placentalia,Euarchontoglires,Rodentia,Chinchillidae,extant,0,0,0,480.28,Mixed,Herbivore,Social,Terrestrial,LACM:Mammals:51598,https://n2t.net/ark:/87602/m4/M114253,"56, 101"
Chlamyphorus_truncatus,Placentalia,Xenarthra,Cingulata,Chlamyphoridae,extant,0,0,0,83.53,Mixed,Omnivore,Solitary,Fossorial,nhmuk:1911.9.6.1,https://n2t.net/ark:/87602/m4/420535,"56, 101"
Chlorocebus_aethiops,Placentalia,Euarchontoglires,Primates,Cercopithecidae,extant,0,0,0,3695.99,NA,Omnivore,Social,Semi-arboreal,sbu:rs:87-3,https://n2t.net/ark:/87602/m4/M23850,"56, 101"
Choloepus_hoffmanni,Placentalia,Xenarthra,Pilosa,Choloepodidae,extant,0,0,0,5893.5,Mixed,Herbivore,Solitary,Arboreal,usnm:mammals:578427,https://n2t.net/ark:/87602/m4/M99418,"56, 101"
Chrysochloris_asiatica,Placentalia,Afrotheria,Afrosoricida,Chrysochloridae,extant,0,0,0,37.16,Mixed,Carnivore,Solitary,Fossorial,UMZC:Vertebrates:E.5472.F,https://n2t.net/ark:/87602/m4/420541,"56, 101"
Civettictis_civetta,Placentalia,Laurasiatheria,Carnivora,Viverridae,extant,0,0,0,12075.58,Nocturnal,Omnivore,Solitary,NA,dnmnh:1190,https://n2t.net/ark:/87602/m4/M114733,"56, 101"
Clethrionomys_glareolus,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,20.73,NA,Omnivore,Solitary,Terrestrial,NHMUK:ZOO:1982.0289-0290,https://n2t.net/ark:/87602/m4/569472,"56, 101"
Colobus_angolensis,Placentalia,Euarchontoglires,Primates,Cercopithecidae,extant,0,0,0,8990.31,Diurnal,Herbivore,Social,Arboreal,sbu:rs:83-5,https://n2t.net/ark:/87602/m4/M23532,"56, 101"
Condylura_cristata,Placentalia,Laurasiatheria,Eulipotyphla,Talpidae,extant,0,0,0,48.15,Mixed,Carnivore,Solitary,Fossorial,UMMZ:mammals:80270,https://n2t.net/ark:/87602/m4/M159817,"56, 101"
Cormohipparion_occidentale,Placentalia,Laurasiatheria,Perissodactyla,Equidae,extinct,7.49,12.5,2.48,151000,NA,Herbivore,NA,Terrestrial,amnh:fm:71866,https://n2t.net/ark:/87602/m4/395535,"76, 127"
Craseonycteris_thonglongyai,Placentalia,Laurasiatheria,Chiroptera,Craseonycteridae,extant,0,0,0,1.96,Nocturnal,Carnivore,Social,Volant,USNM:M-:528306,https://n2t.net/ark:/87602/m4/475218,"56, 101"
Cricetomys_gambianus,Placentalia,Euarchontoglires,Rodentia,Nesomyidae,extant,0,0,0,1267.52,NA,Herbivore,Solitary,Terrestrial,umzc:E.2262,https://n2t.net/ark:/87602/m4/M50458,"56, 101"
Cricetus_cricetus,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,428.95,NA,Herbivore,Solitary,Fossorial,UMMZ:mammals:108463,https://n2t.net/ark:/87602/m4/M64394,"56, 101"
Crocuta_crocuta,Placentalia,Laurasiatheria,Carnivora,Hyaenidae,extant,0,0,0,63369.98,Nocturnal,Carnivore,Social,Terrestrial,ummz:mammals:163808,https://n2t.net/ark:/87602/m4/671714,"56, 101"
Cryptoprocta_ferox,Placentalia,Laurasiatheria,Carnivora,Eupleridae,extant,0,0,0,9500,Mixed,Carnivore,Solitary,Semi-arboreal,MCZ:Mamm:47494,https://n2t.net/ark:/87602/m4/446420,"56, 101"
Ctenodactylus_sp,Placentalia,Euarchontoglires,Rodentia,Ctenodactylidae,extant,0,0,0,173.6,Diurnal,Herbivore,Social,Terrestrial,AMNH:Mammals:M-239586,https://n2t.net/ark:/87602/m4/M101290,"56, 101"
Ctenomys_conoveri,Placentalia,Euarchontoglires,Rodentia,Ctenomyidae,extant,0,0,0,859.99,NA,Herbivore,NA,Fossorial,UMMZ:mammals:125553,https://n2t.net/ark:/87602/m4/430487,"56, 101"
Cuniculus_taczanowskii,Placentalia,Euarchontoglires,Rodentia,Cuniculidae,extant,0,0,0,8999.95,Nocturnal,Herbivore,Solitary,Terrestrial,FMNH:Mammals:70804,https://n2t.net/ark:/87602/m4/M141347,"56, 101"
Cyclopes_didactylus,Placentalia,Xenarthra,Pilosa,Cyclopedidae,extant,0,0,0,263.95,Nocturnal,Carnivore,Solitary,Arboreal,NHMUK 1926.12.4.68,Phenome10K,"56, 101"
Cynocephalus_volans,Placentalia,Euarchontoglires,Dermoptera,Cynocephalidae,extant,0,0,0,1250,Mixed,Herbivore,Solitary,Arboreal,USNM:MAMM:USNM 462159,https://n2t.net/ark:/87602/m4/M13152,"56, 101"
Cynodictis_cayluxi,Placentalia,Laurasiatheria,Carnivora,Amphicyonidae,extinct,37.685,48.07,27.3,2800,NA,Carnivore,NA,NA,fmnh:pm:59013,https://n2t.net/ark:/87602/m4/399521,"76, 122"
Cynohyaenodon_cayluxi,Placentalia,Laurasiatheria,Hyaenodonta,Hyaenodontidae,extinct,37.465,41.03,33.9,5392,NA,Carnivore,NA,NA,fmnh:pm:57153,https://n2t.net/ark:/87602/m4/399527,"43, 76, 113"
Dactylomys_boliviensis,Placentalia,Euarchontoglires,Rodentia,Echimyidae,extant,0,0,0,728.8,NA,Herbivore,NA,Arboreal,ummz:mammals:127168,https://n2t.net/ark:/87602/m4/672660,"56, 101"
Dactylopsila_trivirgata,Metatheria,Marsupialia,Diprotodontia,Petauridae,extant,0,0,0,413.41,Nocturnal,Omnivore,NA,Arboreal,NHMUK:ZOO:ZD 1897.8.7.79,https://n2t.net/ark:/87602/m4/M68263,"56, 101"
Dasyprocta_leporina,Placentalia,Euarchontoglires,Rodentia,Dasyproctidae,extant,0,0,0,3009.99,Diurnal,Herbivore,NA,Terrestrial,ummz:mammals:46411,https://n2t.net/ark:/87602/m4/675356,"56, 101"
Dasypus_novemcinctus,Placentalia,Xenarthra,Cingulata,Dasypodidae,extant,0,0,0,3949.01,Mixed,Omnivore,Solitary,Semi-fossorial,UMMZ:mammals:80275,https://n2t.net/ark:/87602/m4/M64412,"56, 101"
Dasyurus_hallucatus,Metatheria,Marsupialia,Dasyuromorphia,Dasyuridae,extant,0,0,0,470.92,Mixed,Carnivore,NA,Terrestrial,TMM:M:5291,https://n2t.net/ark:/87602/m4/M116114,"56, 101"
Daubentonia_madagascariensis,Placentalia,Euarchontoglires,Primates,Daubentoniidae,extant,0,0,0,2731.37,Nocturnal,Omnivore,Solitary,Arboreal,AMNH:Mammals:M-185640,https://n2t.net/ark:/87602/m4/M16291,"56, 101"
Delphinus_delphis,Placentalia,Laurasiatheria,Artiodactyla,Delphinidae,extant,0,0,0,79271.69,NA,Carnivore,Social,Aquatic,SAMA:Mammalogy:M18049,https://n2t.net/ark:/87602/m4/597772,"56, 101"
Dendrolagus_lumholtzi,Metatheria,Marsupialia,Diprotodontia,Macropodidae,extant,0,0,0,6649.97,Nocturnal,Herbivore,Solitary,Semi-arboreal,AMNH:65254,"Weisbecker et al., 2021","56, 101"
Dendromus_mesomelas,Placentalia,Euarchontoglires,Rodentia,Nesomyidae,extant,0,0,0,10.2,Nocturnal,Herbivore,NA,Arboreal,ummz:mammals:113468,https://n2t.net/ark:/87602/m4/673071,"56, 101"
Desmathyus_sp,Placentalia,Laurasiatheria,Artiodactyla,Tayassuidae,extinct,20.56,27.3,13.82,11291,NA,NA,NA,NA,CM:VertPaleo:001423,https://n2t.net/ark:/87602/m4/411033,76
Desmodus_rotundus,Placentalia,Laurasiatheria,Chiroptera,Phyllostomidae,extant,0,0,0,33.16,Nocturnal,Carnivore,Social,Volant,UMMZ:mammals:116266,https://n2t.net/ark:/87602/m4/M34883,"56, 101"
Dichobune_leporina,Placentalia,Laurasiatheria,Artiodactyla,Dichobunidae,extinct,35.805,37.71,33.9,6604,NA,Herbivore,NA,Terrestrial,MNHN:F:QU16586,https://doi.org/10.18563/m3.sf.1070,"81, 112"
Dicrostonyx_richardsoni,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,85,NA,Herbivore,NA,Fossorial,UMMZ:mammals:114757,https://n2t.net/ark:/87602/m4/M57196,"15, 101"
Didelphis_virginiana,Metatheria,Marsupialia,Didelphimorphia,Didelphidae,extant,0,0,0,2442.08,Nocturnal,Omnivore,Solitary,Semi-arboreal,TMM:M:2517,https://n2t.net/ark:/87602/m4/M116136,"56, 101"
Dinomys_branickii,Placentalia,Euarchontoglires,Rodentia,Dinomyidae,extant,0,0,0,12500,Nocturnal,Herbivore,Social,NA,ummz:mammals:155919,https://n2t.net/ark:/87602/m4/673838,"56, 101"
Diprotodon_optatum,Metatheria,Marsupialia,Diprotodontia,Diprotodontidae,extinct,2.67235,5.333,0.0117,2700000,NA,Herbivore,NA,Terrestrial,NMV:P:31299,Phenome10K,"82, 129"
Distoechurus_pennatus,Metatheria,Marsupialia,Diprotodontia,Acrobatidae,extant,0,0,0,52.74,Nocturnal,Omnivore,NA,Arboreal,JM:9611,"Weisbecker et al., 2021","56, 101"
Dromiciops_gliroides,Metatheria,Marsupialia,Microbiotheria,Microbiotheriidae,extant,0,0,0,25,Nocturnal,Omnivore,NA,Arboreal,UMMZ:mammals:156354,https://n2t.net/ark:/87602/m4/420565,"56, 101"
Dugong_dugon,Placentalia,Afrotheria,Sirenia,Dugongidae,extant,0,0,0,295000,Mixed,Omnivore,Social,Aquatic,LDUCZ:Z3328,https://n2t.net/ark:/87602/m4/838038,"56, 101"
Dymecodon_pilirostris,Placentalia,Laurasiatheria,Eulipotyphla,Talpidae,extant,0,0,0,15.46,Mixed,Carnivore,Social,NA,ummz:mammals:109943,https://n2t.net/ark:/87602/m4/673790,"56, 101"
Echimys_chrysurus,Placentalia,Euarchontoglires,Rodentia,Echimyidae,extant,0,0,0,609.99,Nocturnal,Herbivore,Solitary,NA,AMNH:Mammals:M-95815,https://n2t.net/ark:/87602/m4/M101253,"56, 101"
Echinops_telfairi,Placentalia,Afrotheria,Afrosoricida,Tenrecidae,extant,0,0,0,152.25,Nocturnal,Carnivore,Solitary,Terrestrial,nhmuk:1970.355,https://n2t.net/ark:/87602/m4/M157342,"56, 101"
Echymipera_kalubu,Metatheria,Marsupialia,Peramelemorphia,Peramelidae,extant,0,0,0,825.16,Nocturnal,Omnivore,NA,NA,AMNH:155057,"Weisbecker et al., 2021","56, 101"
Ekaltadeta_ima,Metatheria,Marsupialia,Diprotodontia,Hypsiprymnodontidae,extinct,11.613,15.98,7.246,11100,NA,NA,NA,NA,QMF:12436,"Weisbecker et al., 2021",30
Elephas_maximus,Placentalia,Afrotheria,Proboscidea,Elephantidae,extant,0,0,0,3269794.34,Mixed,Herbivore,Social,Terrestrial,TMM M-6445,Phenome10K,"56, 101"
Eliurus_webbi,Placentalia,Euarchontoglires,Rodentia,Nesomyidae,extant,0,0,0,61.13,NA,Herbivore,Social,NA,UMMZ:mammals:167235,https://n2t.net/ark:/87602/m4/708872,"56, 101"
Ellobius_sp,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,40,NA,Herbivore,Social,Fossorial,NHMUK:ZD:1908.3.2.63,https://n2t.net/ark:/87602/m4/569924,"56, 101"
Enaliarctos_sp,Placentalia,Laurasiatheria,Carnivora,Enaliarctidae,extinct,21.8,27.3,16.3,82000,NA,Carnivore,NA,Aquatic,fmnh:pm:57161,https://n2t.net/ark:/87602/m4/399538,"76, 130"
Enhydra_lutris,Placentalia,Laurasiatheria,Carnivora,Mustelidae,extant,0,0,0,27410.93,Diurnal,Carnivore,Social,Aquatic,amnh:mammals:M-24186,https://n2t.net/ark:/87602/m4/M9081,"56, 101"
Eonycteris_robusta,Placentalia,Laurasiatheria,Chiroptera,Pteropodidae,extant,0,0,0,78.36,NA,Herbivore,NA,Volant,UMMZ:mammals:160278,https://n2t.net/ark:/87602/m4/M36791,"56, 101"
Eptesicus_andinus,Placentalia,Laurasiatheria,Chiroptera,Vespertilionidae,extant,0,0,0,9.2,NA,NA,NA,Volant,UMMZ:mammals:116679,https://n2t.net/ark:/87602/m4/M34925,"56, 101"
Equus_quagga,Placentalia,Laurasiatheria,Perissodactyla,Equidae,extant,0,0,0,400000,NA,Herbivore,Social,Terrestrial,zmb:70335,https://n2t.net/ark:/87602/m4/M72018,"56, 101"
Erethizon_dorsatum,Placentalia,Euarchontoglires,Rodentia,Erethizontidae,extant,0,0,0,7419.46,Nocturnal,Herbivore,Solitary,Arboreal,umzc:E.3506,https://n2t.net/ark:/87602/m4/M48267,"56, 101"
Erinaceus_europaeus,Placentalia,Laurasiatheria,Eulipotyphla,Erinaceidae,extant,0,0,0,777.95,Mixed,Omnivore,Solitary,Terrestrial,UMMZ:mammals:138469,https://n2t.net/ark:/87602/m4/M63737,"56, 101"
Erophylla_bombifrons,Placentalia,Laurasiatheria,Chiroptera,Phyllostomidae,extant,0,0,0,16.28,NA,Herbivore,NA,Volant,uma:2717,https://n2t.net/ark:/87602/m4/348884,"56, 101"
Erythrocebus_patas,Placentalia,Euarchontoglires,Primates,Cercopithecidae,extant,0,0,0,7966.3,Diurnal,Omnivore,Social,Semi-arboreal,USNM:MAMM:270440,https://n2t.net/ark:/87602/m4/102510,"56, 101"
Eulemur_macaco,Placentalia,Euarchontoglires,Primates,Lemuridae,extant,0,0,0,2470.43,Mixed,Herbivore,Social,Arboreal,UMZC:Vertebrates:E.8093.A,https://n2t.net/ark:/87602/m4/420665,"56, 101"
Euphractus_sexcinctus,Placentalia,Xenarthra,Cingulata,Chlamyphoridae,extant,0,0,0,4731.16,Mixed,Omnivore,Solitary,Semi-fossorial,USNM:MAMM:257968,https://n2t.net/ark:/87602/m4/M95767,"56, 101"
Euryoryzomys_macconnelli,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,66.49,Nocturnal,Omnivore,Solitary,NA,uf:mammals:30789,https://n2t.net/ark:/87602/m4/M140444,"56, 101"
Eusmilus_bidentatus,Placentalia,Laurasiatheria,Carnivora,Nimravidae,extinct,37.685,48.07,27.3,35000,NA,Carnivore,NA,Terrestrial,fmnh:pm:58871,https://n2t.net/ark:/87602/m4/411221,"76, 131, 132"
Eutypomys_thompsoni,Placentalia,Euarchontoglires,Rodentia,Eutypomidae,extinct,34.4,37,31.8,597,NA,NA,NA,NA,amnh:fm:12254,https://n2t.net/ark:/87602/m4/M48377,"86, 133, 134"
Felis_lybica,Placentalia,Laurasiatheria,Carnivora,Felidae,extant,0,0,0,4573.08,Mixed,Carnivore,Solitary,Terrestrial,TM:Mammal Collection:10927,https://n2t.net/ark:/87602/m4/M114739,"56, 101"
Funambulus_pennantii,Placentalia,Euarchontoglires,Rodentia,Sciuridae,extant,0,0,0,102.49,NA,NA,NA,Arboreal,UMMZ:mammals:62569,https://n2t.net/ark:/87602/m4/M141129,"56, 101"
Furipterus_horrens,Placentalia,Laurasiatheria,Chiroptera,Furipteridae,extant,0,0,0,3.15,NA,Carnivore,Social,Volant,AMNH:M-:78541,https://n2t.net/ark:/87602/m4/474983,"56, 101"
Galadi_speciosus,Metatheria,Marsupialia,Peramelemorphia,Yaralidae,extinct,21.64,27.3,15.98,929,NA,NA,NA,NA,QMF:23393,"Weisbecker et al., 2021","30, 135"
Galago_senegalensis,Placentalia,Euarchontoglires,Primates,Galagidae,extant,0,0,0,215.2,Nocturnal,Omnivore,Social,Arboreal,AMNH:Mammals:M-42841,https://n2t.net/ark:/87602/m4/M16939,"56, 101"
Galemys_pyrenaicus,Placentalia,Laurasiatheria,Eulipotyphla,Talpidae,extant,0,0,0,60.17,Mixed,Carnivore,Solitary,Semi-Aquatic,oumnh:9427,https://n2t.net/ark:/87602/m4/M158325,"56, 101"
Galidictis_fasciata,Placentalia,Laurasiatheria,Carnivora,Eupleridae,extant,0,0,0,549.99,Mixed,Carnivore,Social,Terrestrial,FMNH:Mammals:162111,https://n2t.net/ark:/87602/m4/570214,"56, 101"
Genetta_genetta,Placentalia,Laurasiatheria,Carnivora,Viverridae,extant,0,0,0,1756.17,Nocturnal,Omnivore,Solitary,Semi-arboreal,UMZC:Vertebrates:K.4363,https://n2t.net/ark:/87602/m4/420577,"56, 101"
Geocapromys_ingrahami,Placentalia,Euarchontoglires,Rodentia,Echimyidae,extant,0,0,0,733.52,Nocturnal,Herbivore,Social,Semi-fossorial,ummz:mammals:101794,https://n2t.net/ark:/87602/m4/675320,"56, 101"
Geomys_pinetis,Placentalia,Euarchontoglires,Rodentia,Geomyidae,extant,0,0,0,201.15,NA,Herbivore,Solitary,Fossorial,nml:D.301,https://n2t.net/ark:/87602/m4/M54755,"56, 101"
Gerbilliscus_afra,Placentalia,Euarchontoglires,Rodentia,Muridae,extant,0,0,0,92.13,NA,NA,NA,NA,ummz:mammals:113472,https://n2t.net/ark:/87602/m4/673112,"56, 101"
Gerbillus_gerbillus,Placentalia,Euarchontoglires,Rodentia,Muridae,extant,0,0,0,26.99,Nocturnal,Herbivore,Social,Fossorial,nhmuk:zoo:1978.1062,https://n2t.net/ark:/87602/m4/M56056,"56, 101"
Giraffa_camelopardalis,Placentalia,Laurasiatheria,Artiodactyla,Giraffidae,extant,0,0,0,964654.73,Mixed,Herbivore,Social,Terrestrial,TMM:M6815,http://digimorph.org/specimens/Giraffa_camelopardalis/skull/,"56, 101"
Glis_glis,Placentalia,Euarchontoglires,Rodentia,Gliridae,extant,0,0,0,128.09,Mixed,Herbivore,Solitary,Arboreal,NHMUK:ZOO:1996.325,https://n2t.net/ark:/87602/m4/M157393,"56, 101"
Glossophaga_soricina,Placentalia,Laurasiatheria,Chiroptera,Phyllostomidae,extant,0,0,0,9.97,NA,Omnivore,NA,Volant,UMMZ:mammals:126822,https://n2t.net/ark:/87602/m4/M34975,"56, 101"
Glossotherium_robustum,Placentalia,Xenarthra,Pilosa,Mylodontidae,extinct,1.3,2.58,0.0117,1103320,NA,Herbivore,NA,Terrestrial,MACN:PV:13553,Alberto Boscaini,"85, 109"
Glyphonycteris_sylvestris,Placentalia,Laurasiatheria,Chiroptera,Phyllostomidae,extant,0,0,0,8.91,Nocturnal,Omnivore,Social,Volant,ummz:mammals:125173,https://n2t.net/ark:/87602/m4/674527,"56, 101"
Glyptodon_sp,Placentalia,Xenarthra,Cingulata,Chlamyphoridae,extinct,1.29585,2.58,0.0117,862000,NA,Herbivore,NA,Terrestrial,MNHN:F:PAM760,https://n2t.net/ark:/87602/m4/377413,"82, 136"
Gorilla_gorilla,Placentalia,Euarchontoglires,Primates,Hominidae,extant,0,0,0,112588.99,Diurnal,Herbivore,Social,Semi-arboreal,ucla:2367,https://n2t.net/ark:/87602/m4/M44794,"56, 101"
Graphiurus_nagtglasii,Placentalia,Euarchontoglires,Rodentia,Gliridae,extant,0,0,0,30,Nocturnal,Omnivore,NA,Arboreal,umzc:E.1909,https://n2t.net/ark:/87602/m4/M48253,"56, 101"
Gustafsonia_sp,Placentalia,Laurasiatheria,Carnivora,Amphicyonidae,extinct,35.45,37,33.9,2270,NA,NA,NA,NA,tmm:vpl:40209-200,https://n2t.net/ark:/87602/m4/355598,"83, 122"
Halitherium_schinzi,Placentalia,Afrotheria,Sirenia,Dugongidae,extinct,42.89,48.07,37.71,250000,NA,Herbivore,NA,Aquatic,smf:mammalogie:3921,https://n2t.net/ark:/87602/m4/397601,76
Hapalemur_griseus,Placentalia,Euarchontoglires,Primates,Lemuridae,extant,0,0,0,916,Mixed,Herbivore,Social,Arboreal,MCZ:Mamm:44913,https://n2t.net/ark:/87602/m4/M17196,"56, 101"
Hapalops_sp,Placentalia,Xenarthra,Pilosa,Megalonychidae,extinct,15.73,20.45,11,49000,NA,Herbivore,NA,Semi-arboreal,l-hj:vertebrates:0002,https://n2t.net/ark:/87602/m4/411120,"76, 85"
Heptodon_sp,Placentalia,Laurasiatheria,Perissodactyla,Helaletidae,extinct,50.95,56,45.9,24000,NA,NA,NA,Terrestrial,fmnh:pm:59193,https://n2t.net/ark:/87602/m4/399544,76
Herpestes_javanicus,Placentalia,Laurasiatheria,Carnivora,Herpestidae,extant,0,0,0,750,Diurnal,Carnivore,Solitary,Terrestrial,USNM:MAMM:USNM 293772,https://n2t.net/ark:/87602/m4/M71974,"56, 101"
Hesperocyon_gregarius,Placentalia,Laurasiatheria,Carnivora,Canidae,extinct,33.25,37,29.5,3000,NA,NA,NA,NA,fmnh:pm:58989,https://n2t.net/ark:/87602/m4/399550,"76, 122"
Heterocephalus_glaber,Placentalia,Euarchontoglires,Rodentia,Heterocephalidae,extant,0,0,0,39.36,Mixed,Herbivore,Social,Fossorial,mnhn:zm:MO-1978-268,https://n2t.net/ark:/87602/m4/M55296,"56, 101"
Heteromys_desmarestianus,Placentalia,Euarchontoglires,Rodentia,Heteromyidae,extant,0,0,0,74,Nocturnal,Herbivore,Solitary,NA,UMMZ:mammals:114492,https://n2t.net/ark:/87602/m4/M64396,"56, 101"
Hippopotamus_amphibius,Placentalia,Laurasiatheria,Artiodactyla,Hippopotamidae,extant,0,0,0,1536310.4,Mixed,Herbivore,Social,Semi-Aquatic,SMNS:7320,Quentin Martinez/Eli Amson,"56, 101"
Hipposideros_turpis,Placentalia,Laurasiatheria,Chiroptera,Hipposideridae,extant,0,0,0,33.31,NA,Carnivore,NA,Volant,AMNH:Mammals:M-244345,https://n2t.net/ark:/87602/m4/M36402,"56, 101"
Homalodotherium_cunninghami,Placentalia,Laurasiatheria,Notoungulata,Homalodotheriidae,extinct,17.975,20.45,15.5,400000,NA,NA,NA,Terrestrial,fmnh:pm:59291,https://n2t.net/ark:/87602/m4/399556,"76, 137, 138"
Homo_sapiens,Placentalia,Euarchontoglires,Primates,Hominidae,extant,0,0,0,58540.63,Diurnal,Omnivore,Social,Terrestrial,TC:723,https://datadryad.org/dataset/doi:10.5061/dryad.crjdfn320,"56, 101"
Homotherium_serum,Placentalia,Laurasiatheria,Carnivora,Felidae,extinct,3.9565,5.333,2.58,150000,NA,Carnivore,NA,Terrestrial,txvp:vpl:933-3444,https://n2t.net/ark:/87602/m4/636263,"15, 139"
Hoplomys_gymnurus,Placentalia,Euarchontoglires,Rodentia,Echimyidae,extant,0,0,0,281.42,Nocturnal,Herbivore,Solitary,Semi-fossorial,ummz:mammals:125181,https://n2t.net/ark:/87602/m4/675416,"56, 101"
Hsunycteris_thomasi,Placentalia,Laurasiatheria,Chiroptera,Phyllostomidae,extant,0,0,0,7.09,NA,Omnivore,NA,Volant,UMMZ:mammals:160708,https://n2t.net/ark:/87602/m4/M35060,"56, 101"
Hydrochoerus_hydrochaeris,Placentalia,Euarchontoglires,Rodentia,Caviidae,extant,0,0,0,48144.91,Mixed,Herbivore,Social,Semi-Aquatic,KU:KUM:89931,https://n2t.net/ark:/87602/m4/385975,"56, 101"
Hydromys_chrysogaster,Placentalia,Euarchontoglires,Rodentia,Muridae,extant,0,0,0,626.17,Mixed,Carnivore,NA,Semi-Aquatic,SAMA:M:M23213,https://n2t.net/ark:/87602/m4/490438,"56, 101"
Hylobates_lar,Placentalia,Euarchontoglires,Primates,Hylobatidae,extant,0,0,0,5578.61,Diurnal,Herbivore,Social,Arboreal,MCZ:Mamm:41440,https://n2t.net/ark:/c7602/m2/m4400,"56, 101"
Hylopetes_spadiceus,Placentalia,Euarchontoglires,Rodentia,Sciuridae,extant,0,0,0,118.1,Nocturnal,NA,NA,Arboreal,ummz:mammals:121035,https://n2t.net/ark:/87602/m4/673913,"56, 101"
Hypsiprymnodon_moschatus,Metatheria,Marsupialia,Diprotodontia,Hypsiprymnodontidae,extant,0,0,0,534.25,Mixed,Omnivore,Solitary,Terrestrial,SAMA:Mammalogy:M4154,https://n2t.net/ark:/87602/m4/535690,"56, 101"
Hyrachyus_modestus,Placentalia,Laurasiatheria,Perissodactyla,Hyrachyidae,extinct,46.55,56,37.1,100000,NA,NA,NA,Terrestrial,YPM:VP:010145,https://n2t.net/ark:/87602/m4/392350,"76, 140"
Hyracotherium_sp,Placentalia,Laurasiatheria,Perissodactyla,Palaeotheriidae,extinct,50.95,56,45.9,10700,NA,Herbivore,NA,Terrestrial,amnh:fm:55268,https://n2t.net/ark:/87602/m4/395589,"76, 127"
Hystrix_indica,Placentalia,Euarchontoglires,Rodentia,Hystricidae,extant,0,0,0,14298.6,Nocturnal,Omnivore,NA,Semi-fossorial,UMMZ:mammals:90859,https://n2t.net/ark:/87602/m4/M68626,"56, 101"
Ignacius_graybullianus,Placentalia,Euarchontoglires,Plesiadapiformes,Paromomyidae,extinct,52.8,57.5,48.1,253,NA,NA,NA,NA,usnm:paleobiology:421608,https://n2t.net/ark:/87602/m4/M64040,"9, 141"
Inia_geoffrensis,Placentalia,Laurasiatheria,Artiodactyla,Iniidae,extant,0,0,0,121430.76,Diurnal,Carnivore,Solitary,Aquatic,SMNS_45664,Quentin Martinez/Eli Amson,"56, 101"
Ischyromys_typus,Placentalia,Euarchontoglires,Rodentia,Ischyromyidae,extinct,31.7,33.9,29.5,1199.07,NA,NA,NA,NA,rom:vertebrate palaeontology:1007,https://n2t.net/ark:/87602/m4/M6341,"9, 52, 84, 142"
Isoodon_macrourus,Metatheria,Marsupialia,Peramelemorphia,Peramelidae,extant,0,0,0,1505.77,Mixed,Omnivore,Solitary,Terrestrial,TMMM:6922,"Weisbecker et al., 2021","56, 101"
Isothrix_bistriata,Placentalia,Euarchontoglires,Rodentia,Echimyidae,extant,0,0,0,444.99,Nocturnal,NA,NA,Arboreal,MVZ:Mamm:191300,https://n2t.net/ark:/87602/m4/M85288,"56, 101"
Jaculus_jaculus,Placentalia,Euarchontoglires,Rodentia,Dipodidae,extant,0,0,0,59.8,Nocturnal,NA,Solitary,Semi-fossorial,UMMZ:mammals:120204,https://n2t.net/ark:/87602/m4/M64399,"56, 101"
