,V1
Hesperocyon_gregarius,274.845937946435
Heterocephalus_glaber,88.5773488323542
Heteromys_desmarestianus,108.909499231354
Hippopotamus_amphibius,961.053251571494
Hipposideros_turpis,81.6009539537502
Homalodotherium_cunninghami,635.056536220381
Homo_sapiens,859.694760195731
Homotherium_serum,638.132864915952
Hoplomys_gymnurus,157.741038424651
Hsunycteris_thomasi,68.3526398129737
Hydrochoerus_hydrochaeris,441.169525200427
Hydromys_chrysogaster,177.501787616203
Hylobates_lar,430.679764120078
Hylopetes_spadiceus,130.739038368376
Hypsiprymnodon_moschatus,190.600423845189
Hyrachyus_modestus,449.211416119577
Hyracotherium_sp,305.905330315325
Hystrix_indica,246.700430842858
Ignacius_graybullianus,151.73569476304
Inia_geoffrensis,790.577815949745
Ischyromys_typus,205.865008798802
Isoodon_macrourus,169.48755535547
Isothrix_bistriata,185.279732327101
Jaculus_jaculus,111.067926245757
Kerivoula_pellucida,50.3947285129502
Khirtharia_inflata,245.325101917409
Kogia_breviceps,919.097673744936
Kryptobaatar_dashzevegi,72.9269867198344
Lagostomus_maximus,276.474825197198
Lama_glama,677.734171678756
Laonastes_aenigmamus,184.20500710512
Lasiorhinus_latifrons,429.358109337949
Lasiurus_intermedius,73.212483478687
Lemmus_lemmus,101.696458747154
Lemur_catta,297.987101184545
Leontinia_gaudryi,757.7572118501
Lepilemur_mustelinus,214.438846906584
Leporillus_conditor,143.015522570995
Leptailurus_serval,405.021820023546
Leptauchenia_sp,282.812586388329
Leptictis_sp,164.188070617397
Leptocyon_sp,279.617079238175
Lepus_europaeus,350.965527461984
Lonchophylla_robusta,82.8749965995066
Lonchorhina_aurita,69.871315133031
Lophocebus_albigena,431.753787200476
Lophostoma_brasiliense,65.6291132768076
Lophuromys_sikapusi,102.377970894974
Loris_tardigradus,182.634610285319
Loxodonta_africana,1756.5703566166
Lycaon_pictus,548.406458915897
Lynx_rufus,442.746949571516
Macaca_fascicularis,400.472489494734
Macrophyllum_macrophyllum,62.9997522213254
Macropus_giganteus,457.268600346953
Macrotarsomys_bastardi,94.0094887531482
Macrotis_lagotis,223.359635614746
Macrotus_waterhousii,74.5136069004601
Mandrillus_sphinx,530.119181154054
Manis_javanica,243.306901730237
Marmota_caudata,231.601205802087
Megacerops_coloradensis,928.989773658285
Megaderma_spasma,83.0920645377608
Megaladapis_madagascariensis,506.111732485154
Megalagus_turgidus,208.152555320739
Megalonyx_jeffersonii,678.367489362135
Megatherium_americanum,1165.63060808193
Mellivora_capensis,441.819649224425
Mephitis_mephitis,245.789905996928
Meriones_libycus,125.875887655411
Merychippus_severus,669.453111977777
Merycochoerus_proprius,510.895638531563
Mesatirhinus_junius,600.064283629749
Mesogaulus_paniensis,163.799726741809
Mesohippus_bairdi,485.925616493118
Microcebus_murinus,129.268266934138
Microchoerus_erinaceus,174.694442422793
Microgale_drouhardi,67.7429815786251
Micromys_minutus,69.2716140519854
Micronycteris_hirsuta,74.8717250473109
Micropteropus_pusillus,93.619641784654
Microsyops_annectens,195.343580949318
Microtus_yuldaschi,74.4356677514648
Miniopterus_schreibersii,57.4628167091318
Mirza_coquereli,187.413020916671
Mixtotherium_sp,315.827089637823
Molossus_molossus,63.6001606239139
Monodelphis_domestica,107.179211227891
Monodon_monoceros,1341.4710196384
Mops_thersites,68.2910588358567
Mormoops_megalophylla,62.5320447865738
Mouillacitherium_elegans,207.095835030276
Murina_cyclotis,56.9651434589403
Mus_musculus,83.4422463116457
Muscardinus_avellanarius,84.8395787951806
Mustela_nivalis,135.144408617652
Mylodon_sp,814.161515340397
Myocastor_coypus,290.163389621712
Myosciurus_pumilio,89.8386223757714
Myospalax_myospalax,161.578069576661
Myotis_adversus,58.820173727008
Myrmecobius_fasciatus,171.705521538189
Myrmecophaga_tridactyla,545.202313673457
Mysateles_prehensilis,206.659486687095
Mystacina_tuberculata,65.9944754784006
Myzopoda_aurita,64.2133453296099
Nandinia_binotata,273.568540133924
Nannospalax_leucodon,146.424492319031
Nasalis_larvatus,474.171511735707
Nasua_nasua,363.792041992421
Neacomys_spinosus,79.7097954136858
Necrolemur_antiquus,142.824879375424
Neofiber_alleni,124.850302989953
Neohelos_stirtoni,563.020565543966
Neomonachus_tropicalis,730.614015657196
Neomys_fodiens,65.2589107660182
Neotoma_lepida,121.430246358721
Nesodon_imbricatus,635.163628825432
Nimbacinus_dicksoni,284.245663009874
Nimbadon_lavarackorum,427.13332914116
Niviventer_rapit,116.104411702686
Noctilio_albiventris,78.3050990197494
Notharctus_tenebrosus,215.709914877819
Nothrotheriops_shastensis,642.312220882505
Notoryctes_typhlops,92.1911281822802
Nycteris_thebaica,70.6659524552005
Nycticeius_humeralis,51.188190700935
Nyctiellus_lepidus,38.5966072591588
Nyctimene_rabori,115.685095016193
Obdurodon_dicksoni,264.186506648873
Ochotona_alpina,157.838473566468
Ochrotomys_nuttalli,87.4286399273966
Octodon_degus,149.217848509872
Odobenus_rosmarus,792.330215121855
Odocoileus_hemionus,636.167201843799
Okapia_johnstoni,795.817823317936
Oligoryzomys_flavescens,75.2024208343275
Orcaella_heinsohni,924.810740972815
Ornithorhynchus_anatinus,241.399716115775
Orycteropus_afer,535.35278253662
Oryctolagus_cuniculus,248.309962623777
Otolemur_garnettii,233.46913735862
Otospermophilus_variegatus,211.20779820764
Oxydactylus_sp,530.223655129151
Palaeolama_sp,775.813342086605
Palaeosyops_sp,604.678284055633
Pan_troglodytes,638.519853917392
Panthera_pardus,572.613041930263
Papio_hamadryas,497.816491074017
Paracynarctus_sinclairi,427.869542501492
Paramylodon_harlani,800.094481448267
Paramys_delicatus,249.349925665849
Parapithecus_grangeri,247.142540799
Patriomanis_americana,235.975063601469
Pedetes_capensis,263.967029018125
Pekania_pennanti,364.823691306281
Perameles_bougainville,151.355730751786
Peromyscus_polionotus,79.4548754264979
Petaurista_leucogenys,245.049144920545
Petauroides_volans,183.515184517622
Petaurus_australis,180.798785518981
Petinomys_setosus,118.491495827385
Petromus_typicus,135.481574327062
Phacochoerus_africanus,552.704087404088
Phalanger_orientalis,228.106632602026
Phascogale_tapoatafa,140.172356466724
Phascolarctos_cinereus,329.221218022078
Phenacodus_primaevus,329.962758964968
Philander_opossum,177.586061380472
Phocoena_phocoena,716.771396970481
Phyllostomus_hastatus,119.223557970723
Pipistrellus_hesperus,43.0714878880956
Pithecia_pithecia,299.214059343239
Planigale_ingrami,53.7314811223008
Platacanthomys_lasiurus,114.398464980217
Platygonus_compressus,553.107187326826
Plionictis_sp,251.281932686827
Pongo_abelii,604.53216374409
Pontoporia_blainvillei,562.108537097744
Potamogale_velox,142.798779411829
Potorous_tridactylus,229.556233053667
Prionodon_linsang,238.653241228255
Procavia_capensis,271.990843446559
Procyon_lotor,357.8459504029
Promartes_olcotti,297.643387724639
Prometheomys_schaposchnikowi,102.621088339083
Pronolagus_randensis,245.139939017868
Propithecus_verreauxi,296.28720733754
Proscelidodon_patrius,624.789594817582
Prospaniomys_priscus,149.80464309022
Proteles_cristatus,369.158627495891
Proterotherium_cavum,459.023483285209
Protocetus_atavus,743.046760180244
Protosciurus_rachelae,188.917340725643
Protypotherium_australe,278.763543505872
Pseudaelurus_validus,485.829878821967
Pseudhipparion_gratum,601.466711363003
Pseudocheirus_peregrinus,171.135092240981
Pseudochirops_cupreus,188.408410667372
Pseudotomus_horribilis,278.490339224299
Pseudotypotherium_pseudopachygnathum,434.823198794637
Pteromys_volans,144.734289331532
Pteropus_giganteus,212.701448687294
Ptilocercus_lowii,122.952000675145
Quercygale_angustidens,322.536116315609
Rapamys_atramontis,216.481837866689
Redunca_arundinum,595.324905673119
Rhinolophus_affinis,70.9642161068513
Rhinophylla_fischerae,62.3648792411351
Rhinopithecus_roxellana,470.997381865651
Rhinopoma_hardwickii,61.8500240393766
Rhipidomys_fulviventer,104.404680089764
Rhizomys_sinensis,209.765778640001
Rhynchocyon_petersi,182.70251265382
Romerolagus_diazi,196.719480371376
Rooneyia_viejaensis,202.643860754608
Rousettus_aegyptiacus,135.56524919781
Saiga_tatarica,501.673050981142
Saimiri_boliviensis,273.653904570294
Sarcophilus_harrisii,269.072130766544
Scalopus_aquaticus,122.081245911793
Scapteromys_tumidus,121.633377371052
Sciurus_vulgaris,193.157953174071
Scotonycteris_zenkeri,89.356605055673
Semnopithecus_entellus,492.563124674116
Setonix_brachyurus,262.077374310442
Sicista_concolor,71.2798073457238
Sigmodon_hispidus,118.621760438071
Silvabestius_johnnilandi,451.354004842763
Simosthenurus_occidentalis,494.687921126838
Smilodectes_gracilis,218.293112276289
Smilodon_fatalis,596.520599411874
Sminthopsis_macroura,73.5035602556293
Smutsia_gigantea,366.197261942311
Solenodon_paradoxus,174.802935110568
Sorex_araneus,57.7703030918071
Spalacopus_cyanus,124.434711052693
Speothos_pacivorus,411.138618883303
Steatomys_pratensis,74.1274913383279
Sturnira_ludovici,80.7811271899848
Suncus_murinus,72.8150789666543
Sundamys_muelleri,139.217042812921
Sundasciurus_juvencus,185.013204026105
Sus_scrofa,505.914109993898
Sylvilagus_bachmani,205.829247624748
Tachyglossus_aculeatus,306.415123414455
Tachyoryctes_splendens,147.575555691793
Tadarida_brasiliensis,58.6162952149689
Talpa_europaea,99.454655790573
Tamandua_sp,333.527556918386
Tamias_striatus,136.02415129978
Taphozous_melanopogon,79.9537996261257
Tapirus_terrestris,703.206335192811
Tarsipes_rostratus,67.3237776666638
Tarsius_tarsier,151.586734545968
Tayassu_pecari,557.30328004169
Tenrec_ecaudatus,143.411686881182
Thalassocnus_natans,546.109312232033
Theropithecus_gelada,503.457083439052
Thryonomys_swinderianus,106.924146844088
Thylacinus_cynocephalus,397.568155234138
Thylacoleo_carnifex,520.932963760416
Thylogale_stigmatica,275.247182697323
Thyroptera_tricolor,53.6749938348201
Titanoides_primaevus,473.859010462938
Tomopeas_ravus,48.1710082551346
Tragelaphus_scriptus,588.932841325985
Trichechus_senegalensis,703.781179050164
Trichosurus_vulpecula,239.871710151291
Trinomys_iheringi,155.260071721786
Trogosus_hillsii,407.795871176361
Tupaia_belangeri,155.297217929831
Tylomys_nudicaudus,121.390178359732
Typotheriopsis_sp,490.679277507286
Uintatherium_anceps,714.275792401986
Urocitellus_columbianus,165.58747873159
Urocyon_littoralis,330.385933832248
Uromys_caudimaculatus,189.89347690722
Uropsilus_gracilis,67.3760811563536
Ursus_arctos,783.612222767502
Ustatochoerus_profectus,597.926758554305
Vampyrum_spectrum,139.961181795472
Vandeleuria_oleracea,72.8510674623343
Varecia_variegata,327.358533238629
Vombatus_ursinus,406.873015124807
Vulpes_lagopus,380.026100004767
Wallabia_bicolor,374.937618614083
Yalkaparidon_coheni,137.368173340263
Zaglossus_bartoni,323.552187472894
Zalophus_californianus,773.939038529808
Zapus_hudsonius,77.2132862372293
Zenkerella_insignis,168.955519616187
Zodiolestes_daimonedlixensis,340.109857339201
Zygodontomys_brevicauda,94.2157895355777
Zygomaturus_trilobus,707.484568731409
