Default schedule
Rate	34.48
CV	0.00
Kappa	0.00
Delta	0.00
Labda	0.00
Rev Jump	0.00
Prior Change	0.00
Est Data	0.00
Solo Tree Move	0.00
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Local Transform Hyper Prior	0.00
Change Hetero	0.00
Tree Move	0.00
OU	0.00
Gamma	0.00
RJ Dummy Add / Remove	0.00
RJ Dummy Move Node	0.00
RJ Dummy Change Beta	0.00
Fat Tail Ans All	0.00
Fat Tail Ans	0.00
Geo Move All	0.00
Local Rates	0.00
Data Dist	0.00
Time Slice - Time	0.00
Time Slice - Scale	0.00
Global Rate	0.00
GlobalTrend-Change	0.00
Fabric Homo	0.00
Site Power	0.00
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Beta 1 - Dev	Beta 1 - Tried	Beta 1 - Accepted	Beta 10 - Dev	Beta 10 - Tried	Beta 10 - Accepted	Beta 11 - Dev	Beta 11 - Tried	Beta 11 - Accepted	Beta 12 - Dev	Beta 12 - Tried	Beta 12 - Accepted	Beta 13 - Dev	Beta 13 - Tried	Beta 13 - Accepted	Beta 14 - Dev	Beta 14 - Tried	Beta 14 - Accepted	Beta 15 - Dev	Beta 15 - Tried	Beta 15 - Accepted	Beta 16 - Dev	Beta 16 - Tried	Beta 16 - Accepted	Beta 17 - Dev	Beta 17 - Tried	Beta 17 - Accepted	Beta 18 - Dev	Beta 18 - Tried	Beta 18 - Accepted	Beta 19 - Dev	Beta 19 - Tried	Beta 19 - Accepted	Beta 2 - Dev	Beta 2 - Tried	Beta 2 - Accepted	Beta 20 - Dev	Beta 20 - Tried	Beta 20 - Accepted	Beta 21 - Dev	Beta 21 - Tried	Beta 21 - Accepted	Beta 22 - Dev	Beta 22 - Tried	Beta 22 - Accepted	Beta 23 - Dev	Beta 23 - Tried	Beta 23 - Accepted	Beta 24 - Dev	Beta 24 - Tried	Beta 24 - Accepted	Beta 25 - Dev	Beta 25 - Tried	Beta 25 - Accepted	Beta 26 - Dev	Beta 26 - Tried	Beta 26 - Accepted	Beta 27 - Dev	Beta 27 - Tried	Beta 27 - Accepted	Beta 28 - Dev	Beta 28 - Tried	Beta 28 - Accepted	Beta 29 - Dev	Beta 29 - Tried	Beta 29 - Accepted	Beta 3 - Dev	Beta 3 - Tried	Beta 3 - Accepted	Beta 30 - Dev	Beta 30 - Tried	Beta 30 - Accepted	Beta 31 - Dev	Beta 31 - Tried	Beta 31 - Accepted	Beta 32 - Dev	Beta 32 - Tried	Beta 32 - Accepted	Beta 33 - Dev	Beta 33 - Tried	Beta 33 - Accepted	Beta 34 - Dev	Beta 34 - Tried	Beta 34 - Accepted	Beta 35 - Dev	Beta 35 - Tried	Beta 35 - Accepted	Beta 36 - Dev	Beta 36 - Tried	Beta 36 - Accepted	Beta 37 - Dev	Beta 37 - Tried	Beta 37 - Accepted	Beta 38 - Dev	Beta 38 - Tried	Beta 38 - Accepted	Beta 39 - Dev	Beta 39 - Tried	Beta 39 - Accepted	Beta 4 - Dev	Beta 4 - Tried	Beta 4 - Accepted	Beta 40 - Dev	Beta 40 - Tried	Beta 40 - Accepted	Beta 5 - Dev	Beta 5 - Tried	Beta 5 - Accepted	Beta 6 - Dev	Beta 6 - Tried	Beta 6 - Accepted	Beta 7 - Dev	Beta 7 - Tried	Beta 7 - Accepted	Beta 8 - Dev	Beta 8 - Tried	Beta 8 - Accepted	Beta 9 - Dev	Beta 9 - Tried	Beta 9 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
290	0.296552	349	0.146132	38	0.578947	323	0.269350	0.029582	12	0.166667	3.227711	4	0.000000	0.847819	6	0.333333	1.255793	12	0.416667	2.527019	12	0.333333	4.287210	17	0.117647	1.847558	11	0.454545	1.275349	17	0.411765	4.923244	3	0.666667	4.114160	8	0.250000	1.563629	4	0.250000	1.758072	9	0.000000	1.431976	16	0.375000	0.901853	4	0.750000	1.612105	12	0.333333	3.106017	15	0.133333	2.266869	6	0.000000	1.738688	12	0.166667	1.061685	10	0.400000	1.206296	10	0.500000	1.270488	11	0.181818	1.184024	3	0.333333	1.682852	21	0.380952	4.302317	4	0.250000	1.000648	11	0.363636	0.480809	6	0.500000	1.790357	11	0.181818	0.885889	8	0.250000	2.705805	6	0.000000	1.766277	16	0.250000	1.690150	11	0.090909	2.583211	7	0.285714	2.636824	8	0.000000	2.028400	5	0.400000	1.396479	9	0.555556	0.890900	5	0.200000	2.616391	6	0.333333	1.127797	12	0.333333	5.024238	7	0.285714	1.418735	10	0.600000	10.220816	323	0.269350	0.246000	0.241508	
345	0.260870	354	0.101695	33	0.363636	268	0.235075	0.069054	12	0.250000	2.794795	8	0.250000	0.855382	13	0.230769	1.120153	3	0.666667	5.136702	17	0.058824	1.647975	24	0.250000	2.130940	22	0.227273	1.737052	16	0.000000	2.756394	12	0.500000	1.753758	4	1.000000	1.261285	5	0.000000	1.314355	6	1.000000	1.728569	11	0.090909	0.942717	7	0.285714	1.153456	12	0.166667	4.032443	5	0.600000	2.291643	8	0.000000	1.603316	9	0.000000	1.873488	18	0.333333	0.903916	13	0.538462	1.539376	14	0.214286	3.394521	8	0.125000	1.955169	8	0.375000	2.049327	2	1.000000	0.617261	14	0.428571	0.914396	14	0.000000	1.711163	9	0.444444	0.735220	9	0.222222	1.075982	10	0.100000	1.855727	9	0.111111	1.446086	7	0.428571	1.476046	9	0.222222	2.398303	10	0.300000	2.297214	16	0.250000	2.688015	8	0.000000	0.973291	19	0.315789	2.694940	19	0.263158	1.172312	18	0.388889	2.492905	9	0.333333	1.343220	19	0.105263	10.220826	268	0.235075	0.201000	0.241504	
363	0.253444	323	0.105263	39	0.589744	275	0.327273	0.032192	18	0.222222	2.818147	13	0.307692	0.907295	13	0.384615	1.032202	25	0.160000	4.341053	2	0.500000	2.375666	12	0.250000	2.692625	5	0.000000	0.513010	6	0.000000	1.159740	7	0.428571	1.757863	10	0.200000	1.183924	14	0.285714	1.017805	17	0.529412	1.304461	6	0.000000	0.945660	10	0.200000	1.710879	17	0.176471	3.647780	6	0.000000	1.782457	9	0.333333	1.046151	9	0.555556	1.708143	6	0.000000	1.106290	7	0.428571	1.589233	12	0.333333	1.053738	11	0.545455	1.939287	12	0.416667	1.746581	9	0.222222	0.806873	13	0.153846	0.842319	12	0.083333	2.512610	10	0.200000	0.872558	21	0.380952	2.711869	10	0.100000	1.766152	10	0.200000	0.663451	15	0.000000	5.217867	10	0.100000	1.014297	14	0.642857	2.199850	17	0.235294	1.613693	6	0.333333	0.974173	15	0.400000	2.462707	15	0.266667	1.912281	16	0.187500	2.059292	4	0.000000	0.870677	7	0.142857	10.220827	275	0.327273	0.239000	0.241503	
356	0.238764	369	0.097561	32	0.593750	243	0.292181	0.032304	22	0.090909	3.277678	6	0.166667	0.906443	13	0.076923	0.994741	8	0.250000	5.422684	14	0.142857	1.216329	10	0.400000	1.898102	13	0.076923	0.899333	7	0.285714	3.519984	17	0.176471	2.182569	10	0.000000	1.809339	4	0.750000	1.411798	20	0.400000	0.723470	15	0.200000	0.750026	5	0.400000	1.529088	4	0.000000	3.400348	7	0.142857	1.910721	18	0.277778	1.039337	10	0.000000	1.789713	11	0.181818	1.104396	16	0.187500	1.650913	20	0.100000	0.661940	12	0.083333	1.893824	19	0.263158	2.186444	10	0.300000	0.784481	10	0.300000	0.853012	7	0.142857	2.674345	8	0.375000	0.809170	4	0.250000	1.577788	14	0.357143	1.591159	14	0.285714	1.172340	8	0.125000	2.863287	19	0.157895	2.167831	12	0.250000	2.130221	10	0.400000	1.770161	15	0.400000	1.455903	13	0.230769	2.313297	7	0.142857	0.739970	9	0.333333	1.760586	17	0.411765	1.086236	9	0.000000	10.220827	243	0.292181	0.211000	0.241495	
356	0.266854	318	0.147799	36	0.694444	290	0.303448	0.031804	16	0.375000	2.653611	6	0.000000	1.609462	11	0.000000	1.901539	10	0.200000	2.059730	6	0.333333	1.835150	17	0.176471	0.566469	5	0.000000	1.118011	8	0.000000	3.140262	10	0.400000	0.944218	7	0.571429	3.317554	9	0.111111	1.690457	5	0.400000	0.966603	10	0.300000	0.664889	12	0.250000	1.651240	9	0.222222	3.137662	10	0.300000	1.711247	13	0.076923	0.943832	11	0.454545	1.886265	24	0.083333	1.074605	11	0.181818	0.763982	18	0.833333	0.920330	18	0.277778	1.261672	8	0.500000	2.061164	11	0.090909	0.737254	8	0.375000	0.569686	26	0.500000	2.320180	4	0.000000	0.777115	7	0.142857	1.254057	12	0.583333	1.404935	14	0.000000	1.308559	9	0.666667	1.846557	10	0.300000	2.437899	8	0.125000	1.268250	1	0.000000	1.554833	23	0.260870	0.980179	6	0.333333	2.001942	3	0.333333	1.023653	18	0.222222	1.863954	9	0.222222	1.315352	14	0.500000	10.137170	290	0.303448	0.255000	0.241496	
341	0.293255	365	0.150685	25	0.640000	269	0.230483	0.017314	13	0.538462	2.714147	6	0.000000	0.888874	3	0.000000	0.535658	14	0.357143	2.095231	3	0.000000	1.414082	14	0.428571	10.075734	13	0.230769	0.791460	11	0.363636	2.329354	12	0.500000	2.081766	10	0.600000	1.590154	20	0.250000	1.013903	11	0.272727	1.018257	15	0.200000	0.689205	18	0.222222	1.566400	11	0.363636	4.242509	5	0.400000	2.375446	20	0.100000	0.919831	7	0.285714	1.657403	13	0.384615	1.081738	18	0.222222	2.197905	11	0.000000	1.309563	11	0.000000	1.854040	12	0.333333	1.906521	13	0.153846	0.550026	12	0.500000	0.588657	11	0.272727	3.146658	5	0.400000	0.775027	16	0.437500	1.086908	9	0.333333	1.331453	9	0.111111	0.992036	17	0.117647	1.501083	3	1.000000	1.854608	7	0.142857	2.028190	15	0.133333	1.424285	6	0.166667	1.059584	17	0.411765	1.867483	6	0.166667	1.544305	8	0.250000	2.076213	12	0.166667	1.346634	18	0.444444	10.037093	269	0.230483	0.233000	0.241493	
340	0.302941	359	0.136490	46	0.630435	255	0.317647	0.025417	10	0.500000	1.644894	19	0.421053	0.825538	8	0.500000	0.976207	5	0.200000	1.064791	10	0.200000	2.181886	8	0.250000	3.123387	9	0.222222	1.306253	18	0.277778	4.099243	16	0.187500	1.738439	19	0.315789	1.821068	13	0.307692	1.338364	10	0.500000	1.717556	8	0.500000	0.870550	9	0.666667	1.538153	9	0.333333	3.307512	7	0.285714	4.337816	8	0.000000	0.714059	25	0.080000	2.032588	11	0.545455	1.340949	9	0.555556	2.460251	7	0.285714	0.917733	19	0.210526	1.942402	9	0.333333	2.088352	4	1.000000	0.828447	5	0.200000	0.888981	10	0.300000	2.148128	7	0.428571	1.490385	10	0.200000	1.399158	5	0.400000	1.374758	4	0.000000	1.232126	9	0.333333	2.598360	8	0.125000	2.534479	11	0.454545	0.503288	7	0.428571	1.318710	16	0.187500	1.049961	12	0.083333	2.654642	20	0.050000	1.113883	15	0.333333	2.091467	6	0.166667	1.320216	7	0.428571	10.048325	255	0.317647	0.262000	0.241499	
336	0.303571	354	0.124294	51	0.745098	259	0.293436	0.031070	11	0.272727	2.466028	7	0.000000	0.785847	11	0.363636	1.317842	7	0.285714	1.681916	15	0.533333	1.983838	16	0.375000	1.588700	15	0.333333	2.094704	6	0.500000	3.703954	11	0.090909	1.782309	18	0.333333	1.807164	9	0.222222	2.268485	19	0.368421	1.735269	15	0.400000	1.431714	16	0.500000	1.137137	11	0.363636	3.383576	16	0.187500	1.813799	10	0.400000	1.485903	14	0.214286	1.829345	7	0.428571	1.045460	7	0.285714	1.230766	6	0.166667	0.974701	9	0.222222	2.516858	11	0.090909	2.732179	6	0.500000	0.770001	14	0.428571	0.787099	6	0.333333	2.174196	7	0.142857	0.481106	25	0.400000	1.306773	4	0.000000	1.423091	16	0.125000	1.615575	7	0.428571	3.247523	14	0.357143	2.080500	6	0.333333	1.184554	7	0.428571	1.237385	8	0.375000	0.602465	11	0.363636	1.359149	15	0.133333	0.878552	13	0.230769	1.953095	6	0.000000	1.198264	9	0.000000	10.080010	259	0.293436	0.260000	0.241504	
344	0.337209	354	0.138418	34	0.382353	268	0.320896	0.031124	6	0.666667	8.087884	11	0.272727	0.789646	10	0.300000	0.975979	11	0.363636	2.485077	15	0.533333	1.043505	5	1.000000	1.426580	7	0.285714	1.480253	6	0.666667	3.623578	12	0.250000	2.898333	17	0.235294	1.203997	17	0.294118	1.921527	10	0.600000	3.051852	6	0.666667	2.564645	15	0.400000	0.858122	17	0.294118	3.772638	15	0.133333	2.055840	4	0.250000	0.821340	15	0.400000	1.499678	6	0.333333	0.718531	9	0.222222	2.072126	17	0.411765	0.955546	13	0.230769	1.800265	8	0.625000	3.842540	16	0.062500	0.719965	16	0.312500	0.479351	7	0.428571	2.119310	14	0.214286	0.874483	18	0.166667	1.402238	7	0.857143	1.367801	16	0.312500	1.924375	9	0.333333	2.395315	21	0.380952	2.271363	12	0.083333	1.600724	10	0.400000	1.182658	10	0.000000	1.094984	15	0.200000	2.135868	8	0.250000	0.896669	9	0.555556	1.347549	10	0.200000	1.235867	8	0.250000	10.330389	268	0.320896	0.264000	0.241515	
321	0.249221	388	0.126289	38	0.605263	253	0.351779	0.055017	11	0.181818	2.078072	16	0.375000	0.812010	2	0.000000	0.540961	10	0.200000	3.412750	5	0.200000	4.074791	26	0.115385	1.100610	8	0.250000	1.973368	13	0.076923	3.959222	2	0.000000	2.306548	8	0.000000	1.655264	15	0.466667	1.691148	22	0.409091	2.459470	11	0.363636	2.372821	10	0.000000	2.294346	6	0.333333	3.131569	15	0.200000	2.312717	5	0.400000	0.734625	11	0.181818	2.089578	15	0.533333	1.065238	14	0.214286	1.759879	20	0.150000	0.312214	8	0.625000	1.894901	10	0.500000	1.937052	3	0.333333	0.769393	10	0.300000	1.012473	9	0.333333	2.103877	7	0.285714	0.496014	6	0.333333	1.567561	11	0.090909	1.344154	20	0.150000	2.174520	5	0.000000	3.849567	9	0.000000	1.478408	12	0.583333	2.951174	9	0.333333	1.660046	14	0.428571	1.025614	17	0.000000	2.413826	18	0.111111	1.146392	6	0.166667	1.280339	5	0.200000	1.315483	13	0.461538	10.356024	253	0.351779	0.241000	0.241521	
