spp.names	lnCsize	lnMass
Abrocoma_cinerea	5.034436966495	5.26600076507149
Abrothrix_olivacea	4.34708541801386	3.19948911106801
Acinonyx_jubatus	6.22255502789701	10.8312703964049
Acomys_cahirinus	4.50198271625559	3.71746691096585
Acrobates_pygmaeus	4.30473153098116	2.62756295018952
Adapis_parisiensis	5.42856095881718	7.7621706071382
Adinotherium_ovinum	6.22009339587982	11.6952470217642
Aenocyon_dirus	6.4375144597033	11.0566827189745
Aepeomys_lugens	4.59005793330172	3.61091791264422
Aethalops_alecto	4.43660456422729	2.70805020110221
Agriochoerus_sp	5.89121829716429	10.86919682254
Ailuropoda_melanoleuca	6.50230804677513	11.678439818702
Ailurus_fulgens	5.928109589703	8.55064344127057
Albacetus_salvifactus	7.2400193238243	15.7895915839863
Alcelaphus_buselaphus	7.12172215066864	11.9887736067309
Alces_alces	6.72141411806541	13.0431053417951
Alouatta_palliata	5.96322021885903	8.79133247285014
Alticola_argentatus	4.52055209638819	3.62939480727904
Amblysomus_hottentotus	4.49727824071986	4.13676527810605
Amynodon_advenus	6.43549694371504	12.4799093111599
Anomalurus_beecrofti	5.25984730292923	6.17184672452089
Anoplotherium_sp	6.40460513469434	12.4554997383579
Anotomys_leander	4.63781202219933	4.19554644273107
Anoura_geoffroyi	4.37337248500698	2.71800053195538
Anourosorex_squamipes	4.24072117376921	2.99573227355399
Antechinus_flavipes	4.50745763131832	3.79166164875696
Antilocapra_americana	6.31254152559573	10.7674320147862
Antrozous_pallidus	4.1698433300865	3.10189246938238
Aotus_trivirgatus	5.57085957151607	6.81607849041023
Aplodontia_rufa	5.34896874270627	6.69234425447615
Apterodon_macrognathus	6.15570886932347	10.7580518057725
Archaeolemur_sp	6.22495568860357	10.1849000119743
Archaeotherium_mortoni	6.36074094637434	12.3458345879053
Arctocyon_primaevus	5.37049470533803	9.68930374259339
Arctodus_simus	6.80769262740657	13.1726058198403
Argyrocetus_joaquinensis	6.60193712943642	11.2910311330565
Artibeus_planirostris	4.6382459129285	3.77574498713552
Arvicola_scherman	4.69279245366964	5.605802066296
Asellia_tridens	4.11420453229398	2.56032328907275
Ateles_geoffroyi	6.17827542923686	8.93358505121332
Aulophyseter_morricei	7.02822316704081	15.9565809229638
Australopithecus_africanus	6.60344037441245	10.3254819625955
Babakotia_radofilai	6.00844974557772	9.95227771670556
Baiomys_taylori	4.18547775755482	2.00552585872967
Balbaroo_nalima	5.81892951550352	9.1484649682581
Barinya_wangala	5.0444733595791	6.09807428216624
Barylambda_schmidti	6.08508950191473	13.3374747570213
Bathyergus_suillus	5.05401339934126	6.6559292913056
Batomys_salomonseni	4.82835313749935	5.22445551794958
Beamys_hindei	4.75391187325181	4.32809829264833
Berylmys_bowersi	5.07085916788072	5.88243062608385
Bettongia_penicillata	5.42803955852464	7.07694937986859
Bison_bison	6.85376265910413	13.3448300116619
Blarina_brevicauda	4.14889465357187	2.92100872735805
Blarinella_quadraticauda	3.85733365665106	2.52572864430826
Borhyaena_tuberata	5.88359349078068	10.0432494949113
Bradypus_tridactylus	5.58888526615196	8.38384463921824
Caenolestes_fuliginosus	4.44650069648397	3.35480434209244
Caenomeryx_filholi	5.45462086978861	8.28399930424853
Callosciurus_notatus	5.23215190540208	5.34467600552605
Calomys_laucha	4.26671853523346	2.63905732961526
Calomyscus_bailwardi	4.49601821298523	3.0624559055969
Caluromys_philander	5.06879909320418	5.50724028222227
Caperea_marginata	7.01732605640562	14.97866136777
Capreolus_capreolus	6.20168722595112	10.0213599175359
Capromys_pilorides	5.4925808881311	8.55641390456952
Carpocyon_webbi	6.24472611412589	10.3734911817819
Castor_canadensis	5.9863174222097	9.80501492746892
Catonyx_tarijensis	6.70384096882592	13.9636719089448
Cavia_porcellus	5.30572277221388	6.59028731183861
Cebochoerus_lacustris	5.57850916092403	8.98719682066197
Cedromus_wilsoni	5.11404845348494	5.97505565457393
Cephalophus_leucogaster	6.22574061463454	9.48863022530147
Ceratotherium_simum	7.09573762082812	14.6422876269229
Cercartetus_concinnus	4.2721635593749	2.77008559202166
