Kryptobaatar_dashzevegi	77.9
Lagostomus_maximus	0
Lama_glama	0
Laonastes_aenigmamus	0
Lasiorhinus_latifrons	0
Lasiurus_intermedius	0
Lemmus_lemmus	0
Lemur_catta	0
Leontinia_gaudryi	27.45
Lepilemur_mustelinus	0
Leporillus_conditor	0
Leptailurus_serval	0
Leptauchenia_sp	26.2
Leptictis_sp	34.6
Leptocyon_sp	19.45
Lepus_europaeus	0
Lonchophylla_robusta	0
Lonchorhina_aurita	0
Lophocebus_albigena	0
Lophostoma_brasiliense	0
Lophuromys_sikapusi	0
Loris_tardigradus	0
Loxodonta_africana	0
Lycaon_pictus	0
Lynx_rufus	0
Macaca_fascicularis	0
Macrophyllum_macrophyllum	0
Macropus_giganteus	0
Macrotarsomys_bastardi	0
Macrotis_lagotis	0
Macrotus_waterhousii	0
Mandrillus_sphinx	0
Manis_javanica	0
Marmota_caudata	0
Megacerops_coloradensis	36.8
Megaderma_spasma	0
Megaladapis_madagascariensis	0.00585
Megalagus_turgidus	34.4
Megalonyx_jeffersonii	1.29585
Megatherium_americanum	4.00585
Mellivora_capensis	0
Mephitis_mephitis	0
Meriones_libycus	0
Merychippus_severus	13.95
Merycochoerus_proprius	19.67
Mesatirhinus_junius	45.4
Mesogaulus_paniensis	19.51
Mesohippus_bairdi	34.4
Microcebus_murinus	0
Microchoerus_erinaceus	37.45
Microgale_drouhardi	0
Micromys_minutus	0
Micronycteris_hirsuta	0
Micropteropus_pusillus	0
Microsyops_annectens	42.8
Microtus_yuldaschi	0
Miniopterus_schreibersii	0
Mirza_coquereli	0
Mixtotherium_sp	42.89
Molossus_molossus	0
Monodelphis_domestica	0
Monodon_monoceros	0
Mops_thersites	0
Mormoops_megalophylla	0
Mouillacitherium_elegans	40.985
Murina_cyclotis	0
Mus_musculus	0
Muscardinus_avellanarius	0
Mustela_nivalis	0
Mylodon_sp	1.29585
Myocastor_coypus	0
Myosciurus_pumilio	0
Myospalax_myospalax	0
Myotis_adversus	0
Myrmecobius_fasciatus	0
Myrmecophaga_tridactyla	0
Mysateles_prehensilis	0
Mystacina_tuberculata	0
Myzopoda_aurita	0
Nandinia_binotata	0
Nannospalax_leucodon	0
Nasalis_larvatus	0
Nasua_nasua	0
Neacomys_spinosus	0
Necrolemur_antiquus	34.15
Neofiber_alleni	0
Neohelos_stirtoni	15.143
Neomonachus_tropicalis	0
Neomys_fodiens	0
Neotoma_lepida	0
Nesodon_imbricatus	22.25
Nimbacinus_dicksoni	19.51
Nimbadon_lavarackorum	13.805
