spp.names	lnCsize	lnMass	lnMassSq
Abrocoma_cinerea	5.03451173984463	5.26600076507149	27.7307640577336
Abrothrix_olivacea	4.3470901788395	3.19948911106801	10.2367305718428
Acinonyx_jubatus	6.222428196194	10.8312703964049	117.316418400037
Acomys_cahirinus	4.50198450954661	3.71746691096585	13.819560234126
Acrobates_pygmaeus	4.30469125019259	2.62756295018952	6.90408705720867
Adapis_parisiensis	5.42833783582679	7.7621706071382	60.2512925343203
Adinotherium_ovinum	6.22012914627276	11.6952470217642	136.778802900084
Aenocyon_dirus	6.43762504605714	11.0566827189745	122.25023274807
Aepeomys_lugens	4.59006015013974	3.61091791264422	13.0387281718549
Aethalops_alecto	4.43658428147924	2.70805020110221	7.33353589168972
Agriochoerus_sp	5.89117150349787	10.86919682254	118.139439567114
Ailuropoda_melanoleuca	6.50242889789588	11.678439818702	136.385956599045
Ailurus_fulgens	5.92807617091318	8.55064344127057	73.1135032597434
Albacetus_salvifactus	7.24004084710053	15.7895915839863	249.31120238909
Alcelaphus_buselaphus	7.12213727609844	11.9887736067309	143.730692593447
Alces_alces	6.72155899575617	13.0431053417951	170.122596957165
Alouatta_palliata	5.96327582967548	8.79133247285014	77.2875266481894
Alticola_argentatus	4.52033911647347	3.62939480727904	13.1725066671041
Amblysomus_hottentotus	4.49728918197788	4.13676527810605	17.1128269661438
Amynodon_advenus	6.4355900733817	12.4799093111599	155.748136414776
Anomalurus_beecrofti	5.25982128213458	6.17184672452089	38.0916919909792
Anoplotherium_sp	6.40458072270838	12.4554997383579	155.139473732234
Anotomys_leander	4.63782850890231	4.19554644273107	17.6026099531133
Anoura_geoffroyi	4.35389783772102	2.71800053195538	7.38752689170972
Anourosorex_squamipes	4.24072192068975	2.99573227355399	8.97441185481296
Antechinus_flavipes	4.50763362791665	3.79166164875696	14.3766980586544
Antilocapra_americana	6.31252882136445	10.7674320147862	115.937592193043
Antrozous_pallidus	4.16989227264848	3.10189246938238	9.62173689161113
Aotus_trivirgatus	5.57085459916505	6.81607849041023	46.458925987433
Aplodontia_rufa	5.34897783197432	6.69234425447615	44.7874716204199
Apterodon_macrognathus	6.15567966229078	10.7580518057725	115.735678655685
Archaeolemur_sp	6.22495511418678	10.1849000119743	103.732188253914
Archaeotherium_mortoni	6.36068241279771	12.3458345879053	152.41963167192
Arctocyon_primaevus	5.37048171857364	9.68930374259339	93.8826070162343
Arctodus_simus	6.80773610825436	13.1726058198403	173.517544084891
Argyrocetus_joaquinensis	6.60193268296404	11.2910311330565	127.48738404765
Artibeus_planirostris	4.63824921747025	3.77574498713552	14.256250207879
Arvicola_scherman	4.69290278042459	5.605802066296	31.4250168064885
Asellia_tridens	4.11404747249734	2.56032328907275	6.55525534456833
Ateles_geoffroyi	6.17826654984357	8.93358505121332	79.8089418672622
Aulophyseter_morricei	7.02826586344795	15.9565809229638	254.612474751091
Australopithecus_africanus	6.6034049658503	10.3254819625955	106.615577759885
Babakotia_radofilai	6.0084071694517	9.95227771670556	99.047831750434
Baiomys_taylori	4.18556497508697	2.00552585872967	4.02213397003337
Balbaroo_nalima	5.81892512019844	9.1484649682581	83.6944112754456
Barinya_wangala	5.0444772625935	6.09807428216624	37.1865099508173
Barylambda_schmidti	6.08494600159855	13.3374747570213	177.88823289418
Bathyergus_suillus	5.05390286957657	6.6559292913056	44.3013947308599
Batomys_salomonseni	4.82834964257256	5.22445551794958	27.2949354590338
Beamys_hindei	4.75391359777588	4.32809829264833	18.7324348308254
Berylmys_bowersi	5.07080879567894	5.88243062608385	34.6029900706892
Bettongia_penicillata	5.42151002970104	7.07694937986859	50.0832125252224
Bison_bison	6.85377024621385	13.3448300116619	178.084488040151
Blarina_brevicauda	4.14900994220795	2.92100872735805	8.53229198530192
Blarinella_quadraticauda	3.85735385400135	2.52572864430826	6.37930518467922
Borhyaena_tuberata	5.88358205201415	10.0432494949113	100.866860417036
Bradypus_tridactylus	5.58885667093051	8.38384463921824	70.2888509345485
Caenolestes_fuliginosus	4.44656249645312	3.35480434209244	11.2547121737223
Caenomeryx_filholi	5.45460533460756	8.28399930424853	68.6246444727901
Callosciurus_notatus	5.23217516274012	5.34467600552605	28.5655616040459
Calomys_laucha	4.26669293724191	2.63905732961526	6.96462358899602
Calomyscus_bailwardi	4.49598627525644	3.0624559055969	9.37863617372532
Caluromys_philander	5.06871492828633	5.50724028222227	30.3296955261317
Caperea_marginata	7.01732387428949	14.97866136777	224.360296370324
Capreolus_capreolus	6.20168574195264	10.0213599175359	100.427654596794
